"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Benzamidine","GO:0008092","cytoskeletal protein binding","21/205","451/9658",0.0465631929046563,2.19369422962522,3.82327477200353,0.000583549033474407,0.0387133779589416,0.0373509075197323,"gene-bent/gene-LOC142986440/gene-Achl/gene-Prm/gene-TpnT/gene-Mhc/gene-Tm2/gene-Mp20/gene-LOC142985541/gene-Obsc/gene-LOC142974453/gene-LOC142977753/gene-LOC142986688/gene-wupA/gene-Stim/gene-awd/gene-LOC142979051/gene-LOC142972623/gene-Pax/gene-LOC142983813/gene-sgg",21
"Benzamidine","GO:2000425","regulation of apoptotic cell clearance","4/205","19/9658",0.210526315789474,9.9183568677792,5.7300561043096,0.000594846068372367,0.0387133779589416,0.0373509075197323,"gene-Stim/gene-awd/gene-LOC142987482/gene-sgg",4
"Benzamidine","GO:0006942","regulation of striated muscle contraction","5/205","33/9658",0.151515151515152,7.13821138211382,5.2012970614184,0.000600147284052361,0.0387133779589416,0.0373509075197323,"gene-bent/gene-TpnT/gene-Ih/gene-LOC142977753/gene-wupA",5
"Benzamidine","GO:0051155","positive regulation of striated muscle cell differentiation","5/205","33/9658",0.151515151515152,7.13821138211382,5.2012970614184,0.000600147284052361,0.0387133779589416,0.0373509075197323,"gene-bent/gene-Prm/gene-Tm2/gene-LOC142974453/gene-sgg",5
"Benzamidine","GO:0015935","small ribosomal subunit","7/205","69/9658",0.101449275362319,4.77949805585012,4.63965010234928,0.00062025666016442,0.0387133779589416,0.0373509075197323,"gene-RpS2/gene-sta/gene-Rack1/gene-RpS24/gene-mRpS12/gene-RpS23/gene-RpS20",7
"Benzamidine","GO:0045047","protein targeting to ER","7/205","69/9658",0.101449275362319,4.77949805585012,4.63965010234928,0.00062025666016442,0.0387133779589416,0.0373509075197323,"gene-RpL4/gene-RpS2/gene-RpL18A/gene-sta/gene-RpL12/gene-RpS20/gene-Spase22-23",7
"Benzamidine","GO:0022627","cytosolic small ribosomal subunit","5/205","35/9658",0.142857142857143,6.73031358885017,5.00115581731854,0.000793139689755323,0.0482811351324582,0.0465819390700736,"gene-RpS2/gene-sta/gene-RpS24/gene-RpS23/gene-RpS20",5
"Benzamidine","GO:0072599","establishment of protein localization to endoplasmic reticulum","7/205","72/9658",0.0972222222222222,4.58035230352304,4.49041537389167,0.000802739550267594,0.0482811351324582,0.0465819390700736,"gene-RpL4/gene-RpS2/gene-RpL18A/gene-sta/gene-RpL12/gene-RpS20/gene-Spase22-23",7
"SKTI","GO:0003735","structural constituent of ribosome","143/3526","160/9658",0.89375,2.44805374361883,14.0052151863835,8.55196392979151e-45,5.87006804140889e-41,4.62076114227577e-41,"gene-mRpL49/gene-RpS23/gene-RpS11/gene-RpL13/gene-RpS15A/gene-mRpS18C/gene-RpS17/gene-RpL30/gene-RpL14/gene-RpL38/gene-RpL9/gene-mRpL40/gene-RpS27A/gene-RpS15/gene-RpL26/gene-RpS10b/gene-RpL37-1/gene-RpS18/gene-RpL36A/gene-RpL24/gene-mRpS6/gene-RpL5/gene-mRpL18/gene-RpL35/gene-mRpL15/gene-RpL29/gene-RpLP2/gene-mRpL51/gene-mRpS35/gene-mRpS23/gene-RpS12/gene-RpL34/gene-RpL35A/gene-mRpL13/gene-RpL37A/gene-RpS27/gene-mRpS9/gene-RpL39/gene-RpS2/gene-RpS30/gene-mRpL47/gene-mRpL16/gene-mRpS7/gene-RpL31/gene-LOC142981581/gene-RpL19/gene-mRpL27/gene-RpS24/gene-mRpL32/gene-mRpS34/gene-RpL10/gene-RpL27/gene-RpS7/gene-mRpL46/gene-mRpS12/gene-RpS5/gene-RpS21/gene-RpL22/gene-mRpL34/gene-mRpS2/gene-RpS4/gene-RpS28b/gene-LOC142972638/gene-LOC142987909/gene-RpL8/gene-mRpL12/gene-mRpS18B/gene-mRpL14/gene-RpL23/gene-RpL13A/gene-mRpL55/gene-RpLP1/gene-mRpS18A/gene-mRpL30/gene-mRpL23/gene-RpS3/gene-RpS9/gene-RpL27A/gene-RpS8/gene-RpL12/gene-mRpS33/gene-mRpS21/gene-mRpL53/gene-mRpL41/gene-mRpL52/gene-mRpS14/gene-mRpL9/gene-RpL32/gene-LOC142972637/gene-mRpS17/gene-mRpL43/gene-RpL28/gene-RpS29/gene-mRpL37/gene-RpS14/gene-mRpS11/gene-mRpL10/gene-mRpS10/gene-mRpL35/gene-mRpL19/gene-mRpL33/gene-RpL40/gene-mRpL39/gene-mRpL2/gene-mRpL3/gene-RpS3A/gene-RpL17/gene-RpS20/gene-RpS25/gene-mRpL44/gene-mRpL54/gene-mRpL48/gene-RpL15/gene-RpS13/gene-mRpS24/gene-LOC142973667/gene-RpLP0/gene-bonsai/gene-RpS16/gene-mRpS31/gene-RpL11/gene-mRpL17/gene-mRpL1/gene-mRpL45/gene-RpL7A/gene-mRpL4/gene-LOC142985091/gene-RpL7/gene-mRpL24/gene-RpL24-like/gene-mRpL50/gene-mRpS16/gene-mRpL38/gene-mRpS25/gene-mRpL22/gene-RpL4/gene-mRpS30/gene-mRpS5/gene-RpS6/gene-RpL21/gene-RpL18/gene-mRpL20/gene-mRpL11",143
"SKTI","GO:0044391","ribosomal subunit","141/3526","162/9658",0.87037037037037,2.3840150417008,13.4706688820247,4.33952750703171e-41,1.48932584041328e-37,1.1723576154523e-37,"gene-mRpL49/gene-RpS23/gene-RpS11/gene-RpL13/gene-RpS15A/gene-mRpS18C/gene-RpS17/gene-RpL30/gene-RpL14/gene-RpL38/gene-RpL9/gene-mRpL40/gene-RpS27A/gene-RpS15/gene-RpL26/gene-RpS10b/gene-RpL37-1/gene-RpS18/gene-Fmr1/gene-RpL36A/gene-RpL24/gene-mRpS6/gene-RpL5/gene-mRpL18/gene-RpL35/gene-mRpL15/gene-RpL29/gene-RpLP2/gene-mRpL51/gene-mRpS35/gene-mRpS23/gene-RpS12/gene-RpL34/gene-mRpL13/gene-RpL37A/gene-RpS27/gene-mRpS9/gene-RpS2/gene-RpS30/gene-mRpL47/gene-mRpL16/gene-mRpS7/gene-RpL31/gene-RpL19/gene-mRpL27/gene-RpS24/gene-mRpL32/gene-mRpS34/gene-RpL10/gene-RpL27/gene-RpS7/gene-mRpL46/gene-mRpS12/gene-RpS21/gene-RpL22/gene-mRpL34/gene-mRpS2/gene-RpS4/gene-RpS28b/gene-LOC142972638/gene-LOC142987909/gene-RpL8/gene-mRpL12/gene-mRpS18B/gene-mRpL14/gene-RpL23/gene-RpL13A/gene-RpLP1/gene-mRpS18A/gene-mRpL30/gene-mRpL23/gene-RpS3/gene-RpS9/gene-RpL27A/gene-RpS8/gene-RpL12/gene-mRpS33/gene-mRpS21/gene-mRpL53/gene-mRpL52/gene-mRpS14/gene-mRpL9/gene-RpL32/gene-LOC142972637/gene-mRpS17/gene-mRpL43/gene-RpL28/gene-RpS29/gene-mRpL37/gene-RpS14/gene-mRpS11/gene-mRpL10/gene-mRpS10/gene-LOC142983658/gene-mRpL35/gene-mRpL19/gene-mRpL33/gene-RpL40/gene-mRpL39/gene-mRpL2/gene-mRpL3/gene-RpS3A/gene-RpL17/gene-MCTS1/gene-RpS20/gene-RpS25/gene-mRpL44/gene-mRpL54/gene-mRpL48/gene-RpL15/gene-RpS13/gene-mRpS24/gene-LOC142973667/gene-RpLP0/gene-bonsai/gene-RpS16/gene-mRpS31/gene-RpL11/gene-mRpL17/gene-mRpL1/gene-mRpL45/gene-RpL7A/gene-mRpL4/gene-LOC142974534/gene-RpL7/gene-mRpL24/gene-RpL24-like/gene-Rack1/gene-mRpL50/gene-LOC142973376/gene-mRpL38/gene-mRpS25/gene-mRpL22/gene-RpL4/gene-mRpS30/gene-mRpS5/gene-RpS6/gene-RpL21/gene-RpL18/gene-LOC142974411/gene-mRpL11",141
