"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","regulation"
"gene-Mi-2",1121.13620127851,-2.84201114994747,0.40114975967826,1.56128265426091e-13,1.64171236675313e-11,"down"
"gene-LOC142978573",711.833570948178,-2.2863912786929,0.320734375800266,1.65427090158522e-13,1.72209600855021e-11,"down"
"gene-Pfdn2",1953.73153324962,2.39913399010297,0.338389275635992,2.1657187711962e-13,2.23219132753984e-11,"up"
"gene-slpr",177.31569740856,-3.66584412951257,0.521723026104837,2.55927080967729e-13,2.61196167928829e-11,"down"
"gene-LOC142972148",5918.98572779891,3.74331788571632,0.537669970311986,2.76383088281951e-13,2.79334752331564e-11,"up"
"gene-raptor",293.461091047366,-4.21434568129362,0.60842178860537,2.95813976933701e-13,2.96098413449983e-11,"down"
"gene-LOC142977612",4265.58417495126,3.50210400684965,0.503109779846585,3.06753768160732e-13,3.04124450147926e-11,"up"
"gene-LOC142975164",1476.79867364171,-4.30728227338892,0.623694182341344,3.39183710098232e-13,3.33104002087037e-11,"down"
"gene-ND-ASHI",6812.44080062756,3.29677240108739,0.474194116034275,3.54250609917169e-13,3.44649425162404e-11,"up"
"gene-Vps8",147.729072199772,-3.76138626070954,0.544166794705676,4.83709627405761e-13,4.66242335304997e-11,"down"
"gene-LOC142974754",1030.21340406447,2.595635345263,0.375219176295363,6.24879866167485e-13,5.96788936403993e-11,"up"
"gene-Rbcn-3B",250.937769891328,-3.6572580062222,0.536314046608266,8.22176649009077e-13,7.780780832895e-11,"down"
"gene-nocte",1249.77342214062,-3.42069457260245,0.502201306455541,8.47291700059749e-13,7.9153263354844e-11,"down"
"gene-Tctp",89466.1547272667,2.4145934114056,0.350187251930395,8.51600912175074e-13,7.9153263354844e-11,"up"
"gene-stau",408.299379826992,-2.20900092422825,0.319955689558036,8.72904093333193e-13,8.04153239964473e-11,"down"
"gene-tai",670.409871360376,-3.19718687288458,0.469700545110597,8.97397081010396e-13,8.12339444636367e-11,"down"
"gene-eEF5",25159.6167991491,2.06959254495171,0.298942719031724,8.93421247844741e-13,8.12339444636367e-11,"up"
"gene-LOC142984411",90867.3837235348,-3.26910852328978,0.480173889337042,9.15083372956966e-13,8.21208440731208e-11,"down"
