"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","regulation"
"gene-ND-B18",5162.82767021818,3.89593993848975,0.509006673764583,1.61870318237811e-15,2.90529312561313e-13,"up"
"gene-ND-ACP",8350.95527005641,3.39695825508891,0.443656030937009,1.74794869971827e-15,3.05405655516201e-13,"up"
"gene-eEF1delta",8344.08787295146,2.25012343447165,0.290359074766157,1.7602631441856e-15,3.05405655516201e-13,"up"
"gene-LOC142987559",141.136163344605,-3.87042709179717,0.506244721938585,1.85288016205953e-15,3.16204630935077e-13,"down"
"gene-LOC142975852",86.5849240714638,-4.56332848256916,0.599759193598853,2.36846362062531e-15,3.97672682108217e-13,"down"
"gene-RpLP0",12273.722357168,-3.28629672252285,0.430929520899052,2.93793535176126e-15,4.85458841457695e-13,"down"
"gene-RasGAP1",239.470631873354,-3.28860411769273,0.436103103349097,4.82379376393531e-15,7.84620204415103e-13,"down"
"gene-RpS23",43866.1819245104,2.79961085304368,0.372074977293986,6.72181584007195e-15,1.07652465992537e-12,"up"
"gene-LOC142972485",286.629436230895,-3.32726882854499,0.445235901871586,7.13273140418825e-15,1.12502627147878e-12,"down"
"gene-E(bx)",207.234929678664,-2.65579468211798,0.353924917865138,8.22104565787982e-15,1.27732963132133e-12,"down"
"gene-LOC142979552",709.926814292526,2.89737107148572,0.387971766159867,9.24959997664135e-15,1.41600493760054e-12,"up"
"gene-LOC142976055",1186.85317289841,2.53063543196247,0.337851549328398,9.99257169693063e-15,1.50757494731953e-12,"up"
"gene-Sf3a1",427.781442798735,-3.27290756770485,0.43942239649764,1.01707302953268e-14,1.51253289106217e-12,"down"
"gene-cut",142.298847365471,-3.67362398769617,0.495213516312609,1.03594669423996e-14,1.51537272838083e-12,"down"
"gene-LOC142982894",3785.74181483222,2.99757926413436,0.402451813709481,1.04809641156023e-14,1.51537272838083e-12,"up"
"gene-Spt5",649.578474506663,-3.74906456182517,0.506809798505069,1.18391133659156e-14,1.68829000190659e-12,"down"
"gene-nocte",1249.77342214062,-3.70935629902781,0.501986579083536,1.23645869347468e-14,1.73939662149614e-12,"down"
"gene-Karybeta3",3234.62020897007,-3.59006711351022,0.484972685989537,1.3620415338453e-14,1.89051364897728e-12,"down"
"gene-MTA1-like",161.427592920706,-5.57827021961246,0.7583521406967,1.5015697385415e-14,2.05675539187066e-12,"down"
"gene-LOC142979270",1618.80886790017,2.03919410860631,0.274243638245068,2.01498790533074e-14,2.72415897331078e-12,"up"
"gene-PlexA",1471.81910450122,-1.94738820557698,0.262540293674368,2.51584314774187e-14,3.35768297025549e-12,"down"
"gene-Fmr1",2054.7127856484,-3.69063218739881,0.506444602893867,2.59043962596991e-14,3.41347803877806e-12,"down"
"gene-LOC142976128",284.423932888638,-2.97518145494859,0.406225162819354,2.78669671601297e-14,3.62618910171188e-12,"down"
"gene-mRpL15",1058.32864675442,2.79950089917931,0.382131236938566,2.9326858694835e-14,3.76904443226213e-12,"up"
"gene-TER94",6403.11703265759,-3.42745855074989,0.47057381939497,2.99166114677593e-14,3.79795030950456e-12,"down"
"gene-Pfdn2",1953.73153324962,2.48632388522104,0.338286782795088,3.03983803402132e-14,3.81261613664602e-12,"up"
"gene-ND-B16.6",4558.15498134457,4.22637418222094,0.583380783381627,3.2685472009016e-14,4.00300898369243e-12,"up"
"gene-MED9",684.010052038118,2.41184271762834,0.328553010163404,3.25969280357375e-14,4.00300898369243e-12,"up"
"gene-LOC142973511",767.053904185753,3.79472707529275,0.523670926210281,3.74769841893097e-14,4.53645820245017e-12,"up"
"gene-ND-B12",7958.23468264102,4.10326902057807,0.567638276310069,3.80229597509674e-14,4.54964380468472e-12,"up"
"gene-alphaCOP",1204.46175707385,-2.73536657535608,0.375558363662232,3.93635332169599e-14,4.65652705441537e-12,"down"
"gene-LOC142980021",15024.5592038706,3.33895784445679,0.460468720227752,3.9949842947917e-14,4.6727850009867e-12,"up"
"gene-LOC142973585",3583.98556119963,2.90097813976579,0.40099262659874,5.29649395147798e-14,6.1262780038762e-12,"up"
"gene-LOC142977714",1202.53861070215,2.36943665484901,0.32580573621013,5.6344336077396e-14,6.44554437984278e-12,"up"
"gene-ox",3556.47001477841,4.15484742641716,0.581001599483205,6.82347718928575e-14,7.72091277613746e-12,"up"
"gene-eIF4B",1365.52853857598,-2.85834933791412,0.398667841620712,8.30888570856318e-14,9.30059142216588e-12,"down"
"gene-LOC142981582",506.058393123495,-2.07423488137015,0.286723206799503,8.81632322207065e-14,9.76360901508036e-12,"down"
"gene-LOC142972650",2828.30712727344,2.72186421221414,0.379474811669714,8.9942902853036e-14,9.85584861789584e-12,"up"
"gene-LOC142980900",383.421126467515,-2.12786854959603,0.29536526568249,1.0766594234251e-13,1.16750256227659e-11,"down"
"gene-LOC142979939",550.106702981157,3.79752954565757,0.535667737094454,1.08920713892228e-13,1.16893260991556e-11,"up"
"gene-mTor",210.170214042011,-2.37673213258529,0.331158940542286,1.10241770110333e-13,1.17103757841691e-11,"down"
"gene-LOC142979623",335.779777623949,-3.75834145075269,0.530440720235609,1.27821656900829e-13,1.34406408922993e-11,"down"
"gene-LOC142980898",283.165423256044,-3.6310328355917,0.513676002751314,1.3005720327394e-13,1.35389548608172e-11,"down"
"gene-blp",1296.02252857119,2.80199861913621,0.394429251075659,1.48180982148671e-13,1.51231767075261e-11,"up"
"gene-msn",1548.84172369309,-2.36294043405254,0.331660197089584,1.47114929878424e-13,1.51231767075261e-11,"down"
"gene-LOC142987685",1285.9344548156,3.5702011287054,0.506535775943922,1.61087513911275e-13,1.61242405751574e-11,"up"
"gene-LOC142977922",1022.81653757544,2.96835522711344,0.419166785704595,1.59682282012496e-13,1.61242405751574e-11,"up"
"gene-LOC142978902",627.468352321412,2.72006949669766,0.38379356574884,1.74887967382761e-13,1.73388927662337e-11,"up"
"gene-Acadvl",712.021624605198,-2.81938040291549,0.398501902890262,1.89423313112192e-13,1.86027989575275e-11,"down"
"gene-LOC142987321",3603.36109144355,2.625742002601,0.371719037396528,2.04885534428343e-13,1.99332561999911e-11,"up"
"gene-LOC142987536",1345.21817089495,2.65547199719935,0.376747039259532,2.3068491706176e-13,2.22354628390085e-11,"up"
"gene-Kcmf1",541.461748507309,-4.59981378786729,0.66320861518366,2.76543196982481e-13,2.64111438586021e-11,"down"
"gene-MED1",191.595991523121,-3.46533547557474,0.497087840788634,2.81941817453068e-13,2.66819483607858e-11,"down"
