gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation
gene-Ltn1,264.82652873683054,-1.359761412788134,0.5302464846826687,-2.926151096118964,0.0034318421391664,0.0109997483593514,down
gene-sotv,10.266898971569782,-3.3509667405120798,1.943150977489159,-2.926026559130389,0.0034332162591406,0.0110006200585819,down
gene-LOC142973977,114.38049597599093,-1.5026361320379735,0.6048712797982587,-2.925342224108206,0.0034407760370402,0.0110213047579265,down
gene-LOC142978528,837.1000868329661,1.2323412702325465,0.4668863050726022,2.924500988346791,0.0034500898412582,0.0110475927833167,up
gene-LOC142975337,202.31658002074963,-1.6115910058928016,0.6653474919218589,-2.924039786270431,0.003455205807861,0.0110604262887302,down
gene-flfl,282.88740615837224,-1.0071086961662064,0.3680692462030856,-2.923875696740455,0.003457027665046,0.0110627102035346,down
gene-LOC142977594,750.659859220902,1.387199433586644,0.5426172362753048,2.9233203128368683,0.0034632004844695,0.0110789115498365,up
gene-Spindly,53.2952313470529,2.07610334796218,0.9648388959157954,2.923033012208064,0.0034663976253251,0.0110855862538834,up
gene-Droj2,2092.7929345327866,-0.9242122547912812,0.3340916008645684,-2.922469942906564,0.0034726713696727,0.011102092549873,down
gene-LOC142976239,1336.6092954154033,2.2416050276223247,1.0921653947827077,2.9220670819682946,0.0034771664049006,0.0111129035822328,up
gene-TM9SF3,1014.0483221037751,1.0770017505245264,0.3970935008794079,2.921756260767389,0.0034806380986955,0.0111204381764021,up
gene-HPS4,234.67347708411307,-1.8413432727893528,0.8062116346384118,-2.921448894350777,0.0034840743063655,0.011127854608587,down
gene-Prps,592.8685197690876,0.8365244222062129,0.2978872204798063,2.9205927122507505,0.0034936622908462,0.011151341005736,up
gene-Noa36,788.8174156033301,0.8954873532706453,0.3214537499827709,2.920619925102288,0.0034933571777129,0.011151341005736,up
gene-CPR25,61.617365247841256,3.306279673199791,2.530286567025612,2.920239526027318,0.0034976244495145,0.0111604186798607,up
gene-Lamtor5,1956.0308972075889,1.4114378527868263,0.5559326764022425,2.919655665376545,0.0035041833574516,0.0111777737586209,up
gene-ae48,773.5173469377643,1.055834649062249,0.3882412476088006,2.9192133081152525,0.0035091601105322,0.0111900725441605,up
gene-LOC142981379,69.29944585603481,-1.7663278189424505,0.757565233126152,-2.918866210725322,0.0035130696419693,0.0111989613850196,down
gene-LOC142978312,284.36703499750433,-1.3892115405124292,0.5474621527634076,-2.918236157888901,0.0035201763700135,0.0112180333170833,down
gene-key,206.85890793765296,-1.6311723597029857,0.6794718487077173,-2.9175589971252376,0.0035278290381575,0.0112388323108363,down
gene-LOC142976688,154.88211438597529,1.9694970841823616,0.8940435193984297,2.916361827736697,0.0035413954263653,0.0112748541469066,up
gene-LOC142982204,411.70344321958765,-2.0037174329421457,0.918677110074588,-2.9164299178345376,0.0035406225544932,0.0112748541469066,down
gene-Arp3,3898.378470685823,1.3194442955198462,0.5105204884743234,2.9147156669336853,0.0035601273173259,0.0113308771537725,up
gene-fbp,898.1223779813481,1.5153379088944037,0.6126844379581502,2.913780806995546,0.0035708053034028,0.0113612393156723,up
gene-frtz,39.78934865633166,-1.5810354543400054,0.6489472292903858,-2.913372226416895,0.0035754812601327,0.0113724915415503,down
gene-LOC142980547,1365.0758402065385,-2.0848056440352645,0.983030915182642,-2.913055157757897,0.0035791137561177,0.01138041873202,down
gene-LOC142984509,700.2178286576199,-2.429687942676409,1.2671683204392443,-2.911595248799105,0.0035958825495071,0.0114264577289497,down
gene-Ugt2,38.56208938089413,-2.521156167064304,1.3196949301251837,-2.911618414296135,0.0035956159091614,0.0114264577289497,down
gene-LOC142981429,1873.0842629372391,-1.2995232471489164,0.5040070303620623,-2.9111721711652443,0.0036007554378176,0.0114346611596749,down
gene-LOC142983225,297.2530520332912,1.3438125321348326,0.5220740372618118,2.911238627543006,0.0035999896146833,0.0114346611596749,up
