gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation
gene-ND-13A,3937.783373710408,2.860768457851804,0.4308530063743098,6.983396956903031,2.881267971703919e-12,1.934809354419862e-10,up
gene-LOC142979334,4139.342078371762,4.159377843280071,0.6347396458206256,6.983474461017754,2.879678155564757e-12,1.934809354419862e-10,up
gene-LOC142982894,3761.8638584943687,2.6930623397148405,0.4048499494988317,6.978658504149036,2.980118707443081e-12,1.9881092579654595e-10,up
gene-brun,446.8578220523321,-2.271526556823692,0.3394674596101553,-6.966417759848907,3.251127997896397e-12,2.1409202241631307e-10,down
gene-LOC142980365,835.1124885975408,3.372621729937308,0.5126528043764533,6.966901575207273,3.239971692669414e-12,2.1409202241631307e-10,up
gene-Bruce,844.7242810367193,-2.9504480948291265,0.4484924884333935,-6.939182732173872,3.943747449700061e-12,2.5803737319928536e-10,down
gene-LOC142978836,524.8836494592302,1.9963722472866088,0.2983310835552252,6.9328984079744576,4.1230431134723326e-12,2.6805032521791145e-10,up
gene-Tomosyn,313.5771537009365,-2.6430964262945738,0.4010383786061487,-6.930873479399876,4.182499964805296e-12,2.7019479203017503e-10,down
gene-RpS18,43131.79797163178,2.6527144327282035,0.4024498001526727,6.923439947312781,4.4080605969698606e-12,2.812067157079461e-10,up
gene-LOC142981380,112.01524487352202,4.270294425301112,0.6595522004880425,6.924152341476887,4.385937319977456e-12,2.812067157079461e-10,up
gene-LOC142980280,306.6391010651335,1.7377779918713474,0.2585150782417401,6.921070619691684,4.482429496935868e-12,2.8273166519021736e-10,up
gene-LOC142978499,3864.575219832195,2.319343130041208,0.3495043950501456,6.920914760215148,4.487364530304225e-12,2.8273166519021736e-10,up
gene-mRpS18C,346.5367835273462,2.790723708642942,0.4249244434517604,6.912016463171459,4.7781238713069735e-12,2.992043580026397e-10,up
gene-LOC142980066,234.00958934187028,4.051507803591537,0.6249814257295137,6.909933983838457,4.8487929497166665e-12,3.017782294985245e-10,up
gene-LOC142987335,39010.135985915134,3.292904566101184,0.5048050953188638,6.9060215117219785,4.984344323233702e-12,3.0833456064997816e-10,up
gene-LOC142972233,137.68196816375703,-4.188540867794426,0.6481939019304295,-6.894569157370042,5.402829707293097e-12,3.322089326647026e-10,down
gene-NAT1,5502.911455547767,-5.389908721652694,0.846370324826816,-6.8717270119360565,6.342925077866342e-12,3.876780614956991e-10,down
gene-LOC142975852,84.1065947020635,-3.666374016795349,0.5644532091333011,-6.8707447612266925,6.386757843793128e-12,3.8803355542616936e-10,down
gene-LOC142977922,991.69149460221,2.6665392768227845,0.4079048275519688,6.867520457322961,6.532738694051794e-12,3.9455422396560154e-10,up
gene-fliI,411.7912373730118,-3.0021598522548376,0.4622150520100064,-6.862929569259106,6.746249301737614e-12,4.0505274484021067e-10,down
gene-Stam,1200.4315464481354,-4.4030165654289135,0.688276760183725,-6.854329242759742,7.164789590601758e-12,4.2766670965656217e-10,down
gene-eIF3k,4604.1539878079575,2.1841314183213827,0.3324497942571213,6.83834634177892,8.011252892742315e-12,4.699474613575907e-10,up
gene-RpL37-1,20657.5838041718,2.9834378286887846,0.461885887578188,6.8384256898324,8.006817763478716e-12,4.699474613575907e-10,up
gene-LOC142980570,117.4160991781413,-3.764420157565736,0.5859594758229316,-6.839263900426677,7.960113001315106e-12,4.699474613575907e-10,down
gene-Psi,703.7995147800976,-2.6842944838627814,0.4134315516403726,-6.830971273197553,8.434162327554379e-12,4.919285421562717e-10,down
gene-LOC142987853,163.41841524530307,3.69965269508006,0.5778350052856496,6.826464250050086,8.703297063231847e-12,5.047417791159515e-10,up
gene-LOC142982317,281.36292051586304,1.7460130859309897,0.2638101473330075,6.82062105815521,9.064776301097832e-12,5.227354333633082e-10,up
gene-LOC142974129,23194.658934733045,3.1661053598119797,0.4921490371289104,6.811994919628347,9.625450714177296e-12,5.519493002225148e-10,up
gene-LOC142980727,128.66776417646557,-3.4302164003093765,0.5328247515890822,-6.807479944508018,9.932315137064884e-12,5.663639139889456e-10,down
gene-LOC142978501,380.3372493628974,-2.332097897356098,0.3584463962810927,-6.795212582112323,1.081529315476142e-11,6.132872068369435e-10,down
gene-TER94,6122.955169800666,-2.851553897347826,0.4440373388166181,-6.782109401888284,1.1843373102445269e-11,6.678746367771209e-10,down
gene-EMC4,2177.390937789294,2.493414654307723,0.3855513370409167,6.781004712060955,1.193429842957834e-11,6.693043080808029e-10,up
gene-LOC142983967,2199.8784266564976,-3.6393599902351386,0.5745986804747634,-6.76210896249903,1.3599735650413632e-11,7.585382611135078e-10,down
gene-Usp20-33,924.5714445485291,-3.304552025991596,0.5195458517666401,-6.759292133903648,1.3866754761497087e-11,7.692280752750041e-10,down
gene-Rbcn-3B,262.03954359572737,-3.730695567511524,0.589036382379182,-6.7500990411542805,1.4774426758020135e-11,8.151490482114137e-10,down
gene-Mondo,926.3499305528748,-2.2059526030147603,0.342192758398526,-6.732304598752939,1.6699657771088562e-11,9.164161659650587e-10,down
gene-LOC142972268,298.8034473476944,-2.6970545977933806,0.4223140394477731,-6.725061054617509,1.7551883023629472e-11,9.580324600116902e-10,down
gene-LOC142972650,2824.950537439841,2.4806458826138718,0.3871528777490836,6.72203937968068,1.791985033710623e-11,9.729144276108683e-10,up
gene-tej,80.06833541442278,-3.933777681965545,0.6304165520029503,-6.715334350913818,1.8763547532875134e-11,1.0133308448045316e-09,down
gene-Vps8,144.1780008619136,-3.6850045092332175,0.583319808283912,-6.709977318630835,1.946546681302052e-11,1.0457053671605286e-09,down
gene-Fmr1,1943.158711087804,-2.882001401841208,0.4550476786550153,-6.703279874541613,2.037926008454923e-11,1.0890633910104398e-09,down
gene-RpL35,41626.52835338307,2.720018610988148,0.4279406598002292,6.700997612744572,2.070014238572766e-11,1.1004497569329283e-09,up
gene-nej,199.96125385264,-4.14245978870526,0.6616957751083453,-6.695011339144279,2.156549095126587e-11,1.140512777925237e-09,down
gene-Tmem131,129.32403344703275,-7.542067135216774,1.1249564856942482,-6.685518661864132,2.3010819376080297e-11,1.2106774916064515e-09,down
gene-FDL,106.81839957176824,-3.0685198537254497,0.4877193538360524,-6.67937405987599,2.3996495402616276e-11,1.2560627106384835e-09,down
gene-arm,1495.9156937288417,-2.177081739673213,0.3410094622714232,-6.666584409584658,2.618251308531915e-11,1.363494444193125e-09,down
gene-fh,458.4297492638738,3.0400284553769934,0.4842032703181377,6.660918781458121,2.721209997181108e-11,1.4099182965090134e-09,up
gene-LOC142981038,2500.216433825415,3.033384084771968,0.4829349794172604,6.659845642486253,2.741153214839381e-11,1.4130783264578563e-09,up
gene-Grx5,654.1150360597937,2.827649097369587,0.4479884616672178,6.654597723807501,2.8407595397378652e-11,1.4570669659348943e-09,up
gene-AP-1gamma,1950.4584710949848,-3.0074013706041693,0.4786694044016404,-6.651619888817727,2.89884577864748e-11,1.4794259431327415e-09,down
gene-RpLP2,27038.995193930503,2.7614114844669118,0.4395066845500461,6.649789440167607,2.9351261020529645e-11,1.4904891603808262e-09,up
gene-LOC142986285,152.00344956435535,-2.743801245372313,0.4360110613740386,-6.642637962698683,3.081180239786344e-11,1.5569112231435252e-09,down
gene-Fak,573.3092992340772,-3.717562804556062,0.5990167689915801,-6.640593279316034,3.1242304065200533e-11,1.570887672874393e-09,down
