sample,label,cycle,stage,mean_phred
ID-1,Control_R1,124,after,39.6306
ID-1,Control_R1,125,after,39.6237
ID-1,Control_R1,126,after,39.6143
ID-1,Control_R1,127,after,39.6214
ID-1,Control_R1,128,after,39.6145
ID-1,Control_R1,129,after,39.615
ID-1,Control_R1,130,after,39.6145
ID-1,Control_R1,131,after,39.6075
ID-1,Control_R1,132,after,39.6081
ID-1,Control_R1,133,after,39.6124
ID-1,Control_R1,134,after,39.603
ID-1,Control_R1,135,after,39.5997
ID-1,Control_R1,136,after,39.5978
ID-1,Control_R1,137,after,39.5955
ID-1,Control_R1,138,after,39.5894
ID-1,Control_R1,139,after,39.5891
ID-1,Control_R1,140,after,39.5839
ID-1,Control_R1,141,after,39.5802
ID-1,Control_R1,142,after,39.5792
ID-1,Control_R1,143,after,39.5716
ID-1,Control_R1,144,after,39.5678
ID-1,Control_R1,145,after,39.5633
ID-1,Control_R1,146,after,39.5607
ID-1,Control_R1,147,after,39.5068
ID-1,Control_R1,148,after,39.5476
ID-1,Control_R1,149,after,39.5471
ID-1,Control_R1,150,after,39.5437
ID-1,Control_R1,151,after,39.1915
ID-7,Benzamidine_R2,1,before,39.1286
ID-7,Benzamidine_R2,2,before,39.1491
ID-7,Benzamidine_R2,3,before,39.4206
ID-7,Benzamidine_R2,4,before,39.4083
ID-7,Benzamidine_R2,5,before,39.3411
ID-7,Benzamidine_R2,6,before,39.3472
ID-7,Benzamidine_R2,7,before,39.2084
ID-7,Benzamidine_R2,8,before,39.3492
ID-7,Benzamidine_R2,9,before,39.4243
ID-7,Benzamidine_R2,10,before,39.3957
ID-7,Benzamidine_R2,11,before,39.4743
ID-7,Benzamidine_R2,12,before,39.4545
ID-7,Benzamidine_R2,13,before,39.4483
ID-7,Benzamidine_R2,14,before,39.5197
ID-7,Benzamidine_R2,15,before,39.473
ID-7,Benzamidine_R2,16,before,39.5304
ID-7,Benzamidine_R2,17,before,39.532
ID-7,Benzamidine_R2,18,before,39.5489
ID-7,Benzamidine_R2,19,before,39.6005
ID-7,Benzamidine_R2,20,before,39.574
ID-7,Benzamidine_R2,21,before,39.5506
ID-7,Benzamidine_R2,22,before,39.5238
ID-7,Benzamidine_R2,23,before,39.5218
ID-7,Benzamidine_R2,24,before,39.5957
ID-7,Benzamidine_R2,25,before,39.5878
ID-7,Benzamidine_R2,26,before,39.6083
ID-7,Benzamidine_R2,27,before,39.595
ID-7,Benzamidine_R2,28,before,39.4969
ID-7,Benzamidine_R2,29,before,39.5374
ID-7,Benzamidine_R2,30,before,39.5534
ID-7,Benzamidine_R2,31,before,39.599
ID-7,Benzamidine_R2,32,before,39.5043
ID-7,Benzamidine_R2,33,before,39.5983
ID-7,Benzamidine_R2,34,before,39.4921
ID-7,Benzamidine_R2,35,before,39.4574
ID-7,Benzamidine_R2,36,before,39.4021
ID-7,Benzamidine_R2,37,before,39.5505
ID-7,Benzamidine_R2,38,before,39.5099
ID-7,Benzamidine_R2,39,before,39.5037
ID-7,Benzamidine_R2,40,before,39.3677
ID-7,Benzamidine_R2,41,before,39.4318
ID-7,Benzamidine_R2,42,before,38.8049
ID-7,Benzamidine_R2,43,before,39.3474
ID-7,Benzamidine_R2,44,before,37.3085
ID-7,Benzamidine_R2,45,before,37.3421
ID-7,Benzamidine_R2,46,before,35.5763
ID-7,Benzamidine_R2,47,before,39.0009
ID-7,Benzamidine_R2,48,before,31.6859
ID-7,Benzamidine_R2,49,before,33.877
ID-7,Benzamidine_R2,50,before,32.262
ID-7,Benzamidine_R2,51,before,36.0235
ID-7,Benzamidine_R2,52,before,31.9438
ID-7,Benzamidine_R2,53,before,32.3777
ID-7,Benzamidine_R2,54,before,32.566
ID-7,Benzamidine_R2,55,before,31.204
ID-7,Benzamidine_R2,56,before,30.2269
ID-7,Benzamidine_R2,57,before,32.558
ID-7,Benzamidine_R2,58,before,34.8738
ID-7,Benzamidine_R2,59,before,30.4634
ID-7,Benzamidine_R2,60,before,32.9523
ID-7,Benzamidine_R2,61,before,30.3098
ID-7,Benzamidine_R2,62,before,29.932
ID-7,Benzamidine_R2,63,before,32.2648
ID-7,Benzamidine_R2,64,before,33.7608
ID-7,Benzamidine_R2,65,before,30.8162
ID-7,Benzamidine_R2,66,before,30.199
ID-7,Benzamidine_R2,67,before,30.0481
ID-7,Benzamidine_R2,68,before,30.7896
ID-7,Benzamidine_R2,69,before,31.1248
ID-7,Benzamidine_R2,70,before,30.6806
ID-7,Benzamidine_R2,71,before,30.1577
ID-7,Benzamidine_R2,72,before,31.3236
ID-7,Benzamidine_R2,73,before,33.2214
ID-7,Benzamidine_R2,74,before,33.8731
ID-7,Benzamidine_R2,75,before,34.0423
ID-7,Benzamidine_R2,76,before,34.1544
ID-7,Benzamidine_R2,77,before,34.1979
ID-7,Benzamidine_R2,78,before,34.2399
ID-7,Benzamidine_R2,79,before,34.2793
ID-7,Benzamidine_R2,80,before,34.3366
ID-7,Benzamidine_R2,81,before,34.4341
ID-7,Benzamidine_R2,82,before,34.6135
ID-7,Benzamidine_R2,83,before,34.8421
ID-7,Benzamidine_R2,84,before,35.1156
ID-7,Benzamidine_R2,85,before,35.5506
ID-7,Benzamidine_R2,86,before,35.9343
ID-7,Benzamidine_R2,87,before,36.3171
ID-7,Benzamidine_R2,88,before,36.6743
ID-7,Benzamidine_R2,89,before,36.9641
ID-7,Benzamidine_R2,90,before,37.2248
ID-7,Benzamidine_R2,91,before,37.4619
ID-7,Benzamidine_R2,92,before,37.6412
ID-7,Benzamidine_R2,93,before,37.7873
ID-7,Benzamidine_R2,94,before,37.9456
ID-7,Benzamidine_R2,95,before,38.0622
ID-7,Benzamidine_R2,96,before,38.1816
ID-7,Benzamidine_R2,97,before,38.2996
ID-7,Benzamidine_R2,98,before,38.379
ID-7,Benzamidine_R2,99,before,38.4525
ID-7,Benzamidine_R2,100,before,38.5273
ID-7,Benzamidine_R2,101,before,38.5689
ID-7,Benzamidine_R2,102,before,38.6156
ID-7,Benzamidine_R2,103,before,38.6729
ID-7,Benzamidine_R2,104,before,38.7064
ID-7,Benzamidine_R2,105,before,38.7432
ID-7,Benzamidine_R2,106,before,38.7842
ID-7,Benzamidine_R2,107,before,38.8099
ID-7,Benzamidine_R2,108,before,38.8417
ID-7,Benzamidine_R2,109,before,38.8618
ID-7,Benzamidine_R2,110,before,38.8842
ID-7,Benzamidine_R2,111,before,38.9008
ID-7,Benzamidine_R2,112,before,38.9167
ID-7,Benzamidine_R2,113,before,38.9307
ID-7,Benzamidine_R2,114,before,38.9384
ID-7,Benzamidine_R2,115,before,38.9542
ID-7,Benzamidine_R2,116,before,38.9655
ID-7,Benzamidine_R2,117,before,38.9728
ID-7,Benzamidine_R2,118,before,38.9818
ID-7,Benzamidine_R2,119,before,38.981
ID-7,Benzamidine_R2,120,before,38.983
ID-7,Benzamidine_R2,121,before,38.9931
ID-7,Benzamidine_R2,122,before,38.9893
ID-7,Benzamidine_R2,123,before,38.9817
ID-7,Benzamidine_R2,124,before,38.9901
ID-7,Benzamidine_R2,125,before,38.98
ID-7,Benzamidine_R2,126,before,38.9705
ID-7,Benzamidine_R2,127,before,38.9687
ID-7,Benzamidine_R2,128,before,38.9482
ID-7,Benzamidine_R2,129,before,38.941
ID-7,Benzamidine_R2,130,before,38.9202
ID-7,Benzamidine_R2,131,before,38.899
ID-7,Benzamidine_R2,132,before,38.8906
ID-7,Benzamidine_R2,133,before,38.8857
ID-7,Benzamidine_R2,134,before,38.8666
ID-7,Benzamidine_R2,135,before,38.8575
ID-7,Benzamidine_R2,136,before,38.8506
ID-7,Benzamidine_R2,137,before,38.8491
ID-7,Benzamidine_R2,138,before,38.8403
ID-7,Benzamidine_R2,139,before,38.8377
ID-7,Benzamidine_R2,140,before,38.8265
ID-7,Benzamidine_R2,141,before,38.8152
ID-7,Benzamidine_R2,142,before,38.8136
ID-7,Benzamidine_R2,143,before,38.7976
ID-7,Benzamidine_R2,144,before,38.7847
ID-7,Benzamidine_R2,145,before,38.7751
ID-7,Benzamidine_R2,146,before,38.7606
ID-7,Benzamidine_R2,147,before,38.6746
ID-7,Benzamidine_R2,148,before,38.7223
ID-7,Benzamidine_R2,149,before,38.6994
ID-7,Benzamidine_R2,150,before,38.6805
ID-7,Benzamidine_R2,151,before,38.3903
ID-7,Benzamidine_R2,1,after,38.8799
ID-7,Benzamidine_R2,2,after,39.3015
ID-7,Benzamidine_R2,3,after,39.4089
ID-7,Benzamidine_R2,4,after,39.4057
ID-7,Benzamidine_R2,5,after,39.4475
ID-7,Benzamidine_R2,6,after,39.4067
ID-7,Benzamidine_R2,7,after,39.3487
ID-7,Benzamidine_R2,8,after,39.3988
ID-7,Benzamidine_R2,9,after,39.4353
ID-7,Benzamidine_R2,10,after,39.4371
ID-7,Benzamidine_R2,11,after,39.4823
ID-7,Benzamidine_R2,12,after,39.4328
ID-7,Benzamidine_R2,13,after,39.4599
ID-7,Benzamidine_R2,14,after,39.4484
ID-7,Benzamidine_R2,15,after,39.474
ID-7,Benzamidine_R2,16,after,39.5334
ID-7,Benzamidine_R2,17,after,39.5532
ID-7,Benzamidine_R2,18,after,39.5258
ID-7,Benzamidine_R2,19,after,39.5348
ID-7,Benzamidine_R2,20,after,39.5273
ID-7,Benzamidine_R2,21,after,39.5633
ID-7,Benzamidine_R2,22,after,39.5539
ID-7,Benzamidine_R2,23,after,39.5506
ID-7,Benzamidine_R2,24,after,39.5557
ID-7,Benzamidine_R2,25,after,39.5485
ID-7,Benzamidine_R2,26,after,39.5318
ID-7,Benzamidine_R2,27,after,39.5328
ID-7,Benzamidine_R2,28,after,39.5254
ID-7,Benzamidine_R2,29,after,39.5514
ID-7,Benzamidine_R2,30,after,39.5201
ID-7,Benzamidine_R2,31,after,39.5254
ID-7,Benzamidine_R2,32,after,39.5297
ID-7,Benzamidine_R2,33,after,39.5223
ID-7,Benzamidine_R2,34,after,39.5231
ID-7,Benzamidine_R2,35,after,39.5285
ID-7,Benzamidine_R2,36,after,39.5282
ID-7,Benzamidine_R2,37,after,39.5384
ID-7,Benzamidine_R2,38,after,39.5456
ID-7,Benzamidine_R2,39,after,39.539
ID-7,Benzamidine_R2,40,after,39.5402
ID-7,Benzamidine_R2,41,after,39.5401
ID-7,Benzamidine_R2,42,after,39.5315
ID-7,Benzamidine_R2,43,after,39.5299
ID-7,Benzamidine_R2,44,after,39.5255
ID-7,Benzamidine_R2,45,after,39.4965
ID-7,Benzamidine_R2,46,after,39.4991
ID-7,Benzamidine_R2,47,after,39.5373
ID-7,Benzamidine_R2,48,after,39.4884
ID-7,Benzamidine_R2,49,after,39.5033
ID-7,Benzamidine_R2,50,after,39.4719
ID-7,Benzamidine_R2,51,after,39.5016
ID-7,Benzamidine_R2,52,after,39.4543
ID-7,Benzamidine_R2,53,after,39.4801
ID-7,Benzamidine_R2,54,after,39.4583
ID-7,Benzamidine_R2,55,after,39.4645
ID-7,Benzamidine_R2,56,after,39.4635
ID-7,Benzamidine_R2,57,after,39.4779
ID-7,Benzamidine_R2,58,after,39.4925
ID-7,Benzamidine_R2,59,after,39.4753
ID-7,Benzamidine_R2,60,after,39.4758
ID-7,Benzamidine_R2,61,after,39.4251
ID-7,Benzamidine_R2,62,after,39.4515
ID-7,Benzamidine_R2,63,after,39.4689
ID-7,Benzamidine_R2,64,after,39.4832
ID-7,Benzamidine_R2,65,after,39.428
ID-7,Benzamidine_R2,66,after,39.4444
ID-7,Benzamidine_R2,67,after,39.3942
ID-7,Benzamidine_R2,68,after,39.4375
ID-7,Benzamidine_R2,69,after,39.4416
ID-7,Benzamidine_R2,70,after,39.4343
ID-7,Benzamidine_R2,71,after,39.4284
ID-7,Benzamidine_R2,72,after,39.4343
ID-7,Benzamidine_R2,73,after,39.4603
ID-7,Benzamidine_R2,74,after,39.4615
ID-7,Benzamidine_R2,75,after,39.4206
ID-7,Benzamidine_R2,76,after,39.4631
ID-7,Benzamidine_R2,77,after,39.4509
ID-7,Benzamidine_R2,78,after,39.4506
ID-7,Benzamidine_R2,79,after,39.4509
ID-7,Benzamidine_R2,80,after,39.442
ID-7,Benzamidine_R2,81,after,39.4409
ID-7,Benzamidine_R2,82,after,39.4445
ID-7,Benzamidine_R2,83,after,39.4444
ID-7,Benzamidine_R2,84,after,39.3984
ID-7,Benzamidine_R2,85,after,39.4254
ID-7,Benzamidine_R2,86,after,39.4237
ID-7,Benzamidine_R2,87,after,39.4171
ID-7,Benzamidine_R2,88,after,39.4205
ID-7,Benzamidine_R2,89,after,39.4061
ID-7,Benzamidine_R2,90,after,39.4018
ID-7,Benzamidine_R2,91,after,39.407
ID-7,Benzamidine_R2,92,after,39.4058
ID-7,Benzamidine_R2,93,after,39.3952
ID-7,Benzamidine_R2,94,after,39.403
ID-7,Benzamidine_R2,95,after,39.3961
ID-7,Benzamidine_R2,96,after,39.3946
ID-7,Benzamidine_R2,97,after,39.3999
ID-7,Benzamidine_R2,98,after,39.3906
ID-7,Benzamidine_R2,99,after,39.3885
ID-7,Benzamidine_R2,100,after,39.3878
ID-7,Benzamidine_R2,101,after,39.3819
ID-7,Benzamidine_R2,102,after,39.3772
ID-7,Benzamidine_R2,103,after,39.3852
ID-7,Benzamidine_R2,104,after,39.3787
ID-7,Benzamidine_R2,105,after,39.3708
ID-7,Benzamidine_R2,106,after,39.3741
ID-7,Benzamidine_R2,107,after,39.3674
ID-7,Benzamidine_R2,108,after,39.3657
ID-7,Benzamidine_R2,109,after,39.3625
ID-7,Benzamidine_R2,110,after,39.3575
ID-7,Benzamidine_R2,111,after,39.3531
ID-7,Benzamidine_R2,112,after,39.3498
ID-7,Benzamidine_R2,113,after,39.344
ID-7,Benzamidine_R2,114,after,39.3413
ID-7,Benzamidine_R2,115,after,39.3395
ID-7,Benzamidine_R2,116,after,39.3388
ID-7,Benzamidine_R2,117,after,39.3356
ID-7,Benzamidine_R2,118,after,39.3356
ID-7,Benzamidine_R2,119,after,39.3256
ID-7,Benzamidine_R2,120,after,39.3224
ID-7,Benzamidine_R2,121,after,39.3264
ID-7,Benzamidine_R2,122,after,39.3203
ID-7,Benzamidine_R2,123,after,39.3069
ID-7,Benzamidine_R2,124,after,39.314
ID-7,Benzamidine_R2,125,after,39.3067
ID-7,Benzamidine_R2,126,after,39.3018
ID-7,Benzamidine_R2,127,after,39.3053
ID-7,Benzamidine_R2,128,after,39.2939
ID-7,Benzamidine_R2,129,after,39.3006
ID-7,Benzamidine_R2,130,after,39.2917
ID-7,Benzamidine_R2,131,after,39.2832
ID-7,Benzamidine_R2,132,after,39.2851
ID-7,Benzamidine_R2,133,after,39.2885
ID-7,Benzamidine_R2,134,after,39.2778
ID-7,Benzamidine_R2,135,after,39.272
ID-7,Benzamidine_R2,136,after,39.2681
ID-7,Benzamidine_R2,137,after,39.2675
ID-7,Benzamidine_R2,138,after,39.2627
ID-7,Benzamidine_R2,139,after,39.2606
ID-7,Benzamidine_R2,140,after,39.2561
ID-7,Benzamidine_R2,141,after,39.2476
ID-7,Benzamidine_R2,142,after,39.2504
ID-7,Benzamidine_R2,143,after,39.243
ID-7,Benzamidine_R2,144,after,39.2369
ID-7,Benzamidine_R2,145,after,39.2369
ID-7,Benzamidine_R2,146,after,39.2349
ID-7,Benzamidine_R2,147,after,39.1603
ID-7,Benzamidine_R2,148,after,39.2246
ID-7,Benzamidine_R2,149,after,39.2176
ID-7,Benzamidine_R2,150,after,39.218
ID-7,Benzamidine_R2,151,after,38.7984
ID-8,Benzamidine_R3,1,before,38.5211
ID-8,Benzamidine_R3,2,before,38.9054
ID-8,Benzamidine_R3,3,before,39.3624
ID-8,Benzamidine_R3,4,before,39.4369
ID-8,Benzamidine_R3,5,before,39.2752
ID-8,Benzamidine_R3,6,before,39.2845
ID-8,Benzamidine_R3,7,before,39.2068
ID-8,Benzamidine_R3,8,before,39.3569
ID-8,Benzamidine_R3,9,before,39.3912
ID-8,Benzamidine_R3,10,before,39.3619
ID-8,Benzamidine_R3,11,before,39.3915
ID-8,Benzamidine_R3,12,before,39.0488
ID-8,Benzamidine_R3,13,before,39.43
ID-8,Benzamidine_R3,14,before,39.5317
ID-8,Benzamidine_R3,15,before,39.4317
