	ID-1	ID-2	ID-3	ID-5	ID-7	ID-8	ID-9	ID-10	ID-12	ID-14	ID-15	ID-16	ID-18
gene-ari-2	1138	953	1666	1037	1071	353	773	479	849	597	730	822	713
gene-Arl1	899	485	720	1024	425	408	671	399	700	599	886	652	459
gene-Arl2	113	36	133	144	12	269	193	102	452	401	743	717	203
gene-Arl4	1800	3240	2693	1446	477	504	834	843	439	699	539	562	887
gene-Arl5	2019	3038	2854	1459	3353	759	4189	3645	3780	2100	1858	3469	916
gene-Arl6	8	2	6	2	5	0	6	0	1	2	1	0	7
gene-Arl6IP1	325	285	608	197	189	51	492	367	721	342	488	511	501
gene-arm	4215	2844	3766	3866	1254	1286	638	359	418	737	993	798	3254
gene-Arp1	446	213	269	574	278	403	108	75	115	159	367	242	1327
gene-Arp10	541	274	283	485	300	287	53	52	85	66	91	152	771
gene-Arp2	2085	926	936	3046	532	924	675	259	733	459	865	565	1173
gene-Arp3	3353	2393	2326	5148	752	1151	5488	3494	6578	4062	5149	6426	1459
gene-Arp5	72	37	61	79	27	0	67	32	72	51	60	75	161
gene-Arp6	26	21	75	37	10	68	32	21	39	42	49	79	135
gene-Arp8	55	17	40	117	60	70	79	46	132	42	151	156	120
gene-Arpc1	3714	1908	2375	5469	1661	2474	5516	1380	4833	3143	4303	5811	2511
gene-Arpc2	3335	3668	9638	4680	5394	1829	2047	617	1608	1880	1758	1703	1875
gene-Arpc3A	2305	2378	1212	3621	1084	1607	5172	4061	10151	5295	9661	9458	923
gene-Arpc4	779	597	602	1215	220	668	1333	1485	2488	2265	3360	3747	584
gene-Arpc5	1801	1550	1985	2275	1794	1463	4233	3140	8116	3681	7242	9392	730
gene-arr	996	580	1004	466	637	289	122	83	45	163	152	217	912
gene-Arr1	3	9	2	3	5	0	2	0	3	9	6	7	1
gene-Arr2	3	2	0	1	13	0	0	0	0	1	0	15	0
gene-Ars2	604	292	519	542	390	370	166	67	201	137	173	123	1771
gene-Art1	529	216	860	1158	475	455	428	221	319	297	251	238	3245
gene-Art3	64	61	173	141	19	30	57	65	49	50	92	70	124
gene-Art4	649	851	844	1009	434	232	254	154	155	232	337	201	1192
gene-Art7	60	49	84	211	32	17	55	16	49	34	57	52	282
gene-Art8	270	398	757	315	797	126	389	258	296	151	171	324	190
gene-Arv1	82	83	126	65	67	12	92	105	137	61	47	76	27
gene-Asap	713	184	101	675	114	260	226	104	127	216	165	113	362
gene-Asator	162	61	128	82	178	125	6	7	17	24	80	48	1603
gene-Ase	0	0	0	0	0	0	0	0	0	0	0	0	0
gene-asf1	369	267	339	281	334	158	353	188	141	91	121	183	484
gene-ash1	400	189	262	257	149	203	33	43	41	94	89	70	732
gene-ash2	762	435	773	491	214	142	451	150	248	235	263	199	250
gene-Ask1	316	241	457	206	146	116	127	51	46	39	93	33	709
