	ID-1	ID-2	ID-3	ID-5	ID-7	ID-8	ID-9	ID-10	ID-12	ID-14	ID-15	ID-16	ID-18
gene-LOC142972891	112.560388	58.11762	26.950193	413.432698	30.193816	13.080676	81.905574	54.835753	119.205872	32.677373	49.176338	109.555314	0.677391
gene-LOC142972892	101.413395	45.775235	61.007887	279.723348	83.244936	13.956649	38.885609	29.395798	63.307441	43.757521	22.615853	75.731975	0.707886
gene-LOC142972893	18.865513	9.11936	6.276617	74.276654	5.417079	3.717548	11.742087	8.998189	21.100137	6.256419	8.211181	20.702636	0.094741
gene-LOC142972894	146.1529	20.358814	9.606942	15.574298	16.462087	389.949753	57.772883	32.713141	79.571861	10.558828	134.888048	18.948152	277.398976
gene-LOC142972895	25.414892	7.672372	19.716194	8.779791	39.224387	7.101098	72.434439	72.247939	50.234825	24.974954	17.480572	0.809425	0
gene-LOC142972896	0	0.116476	0.069626	0.067535	0	0	0	0.093188	0	0	0	0.067937	0
gene-LOC142972898	163.169848	0.818459	63.110783	0.649581	40.639272	72.481492	32.743104	3.588745	649.619694	36.728886	455.122192	14.834777	0
gene-LOC142972901	6.957277	2.930498	17.783255	29.073332	8.580999	4.254719	1.090958	1.208229	0.87928	1.983886	1.799765	1.100491	45.812229
gene-LOC142972903	713.821936	93.663938	229.172348	246.02773	292.148953	674.865355	363.874904	261.849589	293.049376	478.711272	358.091635	98.923989	0
gene-LOC142972904	15.037769	18.824204	11.292889	35.892363	3.730925	6.288778	46.226514	57.87935	64.174128	28.456118	59.930641	42.611718	13.069664
gene-LOC142972908	10981.827672	1198.469613	2798.143647	3842.362672	1993.637743	1985.023496	5967.801935	3951.049859	4184.961524	2845.289907	2131.969947	611.164519	0
gene-LOC142972910	1.681441	2.096491	14.435277	14.236586	8.52076	2.819539	2.339814	1.027322	1.246945	3.556548	3.018871	3.598746	11.441798
gene-LOC142972911	11.392008	9.771373	9.651755	14.636778	5.104971	1.002706	21.94536	18.015346	18.236472	11.199157	18.351254	17.928025	11.01662
gene-LOC142972913	4.848853	8.229786	6.745475	13.216086	1.390287	0.99295	11.414684	5.614334	2.132463	1.462286	5.037979	7.356796	6.593764
gene-LOC142972915	4.991979	0.721814	5.38605	1.670074	3.467696	2.826733	0.194552	0.626616	0.116959	0.87698	0.454207	0.716376	8.310162
gene-LOC142972916	1223.196805	171.513424	240.197661	337.15102	89.92321	33.657965	2628.687125	7683.613225	538.866445	267.932984	175.830375	58.692061	0
gene-LOC142972917	0.337229	0.227503	2.355837	0	4.055902	2.284613	0.10865	0.622452	0.234459	0.252168	0.232273	0	58.065615
gene-LOC142972918	7.333552	12.92562	142.20423	7.578209	180.30284	164.338768	31.225794	42.418692	86.743539	34.066299	69.859906	22.406238	3083.119379
gene-LOC142972919	0	0.030659	0.04737	0	0.049096	0	0	0.459033	0.025605	0.177831	0	0.030191	0
gene-LOC142972920	0	0.105035	0	0.219759	0	0.606859	0.672763	0.297913	0.309102	0.270877	0.65979	0.898116	0.56089
gene-LOC142972922	731.557916	413.448284	333.683114	125.88235	370.907307	82.979466	3637.386056	6361.477805	1830.401835	728.954152	562.833848	238.515073	0.041317
gene-LOC142972923	0.537487	0.246393	0.418025	0.225426	0.572404	0.150138	0.104159	0.040134	0.041434	0.161226	0.08349	0.090856	1.783222
gene-LOC142972924	1.317745	0.031545	0.166354	0.426524	0.140438	1.34663	0.241413	0.21861	0.273812	0.476185	0.055711	0.073083	1.221202
gene-LOC142972926	0	0.158541	0	0.400204	0	0	0.211001	0.36687	0	0.030853	0.140711	0	1.405758
gene-LOC142972927	8.057254	4.711191	9.366802	7.850846	3.264329	1.783386	11.228043	7.682448	10.620879	9.964166	10.503509	12.896954	4.367183
gene-LOC142972929	278.542486	25.188267	199.539351	16.681132	339.436954	42.95349	716.012613	2131.678716	483.482339	346.826081	96.269037	2.91662	0
gene-LOC142972930	17.034994	11.83136	33.732584	15.204592	15.2539	2.98287	11.675221	7.287936	5.821314	9.046444	5.031679	9.289869	17.823542
gene-LOC142972931	0.28684	0.80251	0.832176	0.344329	1.211175	1.383355	4.430335	1.821205	1.707797	0.582991	0.575847	0.637662	11.8383
