pfam_accession,genes_com_dominio_universo,genes_com_dominio_DE,odds_ratio,pvalue,padj
PF03489.23,1,1,inf,0.3367700498605595,0.4892970851422977
PF05005.21,1,1,inf,0.3367700498605595,0.4892970851422977
PF10276.15,1,1,inf,0.3367700498605595,0.4892970851422977
PF24179.2,1,1,inf,0.3367700498605595,0.4892970851422977
PF22892.3,1,1,inf,0.3367700498605595,0.4892970851422977
PF10075.16,3,2,3.9402460456942006,0.26383478769151847,0.4892970851422977
PF00888.30,5,4,7.884451142928913,0.046951208167922955,0.4892970851422977
PF14075.12,1,1,inf,0.3367700498605595,0.4892970851422977
PF20252.4,1,1,inf,0.3367700498605595,0.4892970851422977
PF17767.8,1,1,inf,0.3367700498605595,0.4892970851422977
PF26052.1,1,1,inf,0.3367700498605595,0.4892970851422977
PF06658.18,1,1,inf,0.3367700498605595,0.4892970851422977
PF04758.20,1,1,inf,0.3367700498605595,0.4892970851422977
PF01857.26,1,1,inf,0.3367700498605595,0.4892970851422977
PF01981.22,2,2,inf,0.11339518920254132,0.4892970851422977
PF13656.12,2,2,inf,0.11339518920254132,0.4892970851422977
PF25599.3,1,1,inf,0.3367700498605595,0.4892970851422977
PF13913.13,3,2,3.9402460456942006,0.26383478769151847,0.4892970851422977
PF12612.14,1,1,inf,0.3367700498605595,0.4892970851422977
PF08487.17,1,1,inf,0.3367700498605595,0.4892970851422977
PF21353.4,2,2,inf,0.11339518920254132,0.4892970851422977
PF26582.2,1,1,inf,0.3367700498605595,0.4892970851422977
PF06026.21,1,1,inf,0.3367700498605595,0.4892970851422977
PF05205.18,1,1,inf,0.3367700498605595,0.4892970851422977
PF17865.8,1,1,inf,0.3367700498605595,0.4892970851422977
PF05856.18,1,1,inf,0.3367700498605595,0.4892970851422977
PF04716.20,1,1,inf,0.3367700498605595,0.4892970851422977
PF02284.22,1,1,inf,0.3367700498605595,0.4892970851422977
PF05641.19,3,3,inf,0.03817538995805274,0.4892970851422977
PF14598.13,12,6,1.970846946468962,0.18456471182947978,0.4892970851422977
PF07896.18,1,1,inf,0.3367700498605595,0.4892970851422977
PF08952.18,1,1,inf,0.3367700498605595,0.4892970851422977
PF23570.1,1,1,inf,0.3367700498605595,0.4892970851422977
PF02008.26,3,2,3.9402460456942006,0.26383478769151847,0.4892970851422977
PF25087.2,6,4,3.9417231851293644,0.10351041265574489,0.4892970851422977
PF01650.24,1,1,inf,0.3367700498605595,0.4892970851422977
PF12548.14,1,1,inf,0.3367700498605595,0.4892970851422977
PF16134.11,1,1,inf,0.3367700498605595,0.4892970851422977
PF00320.34,5,4,7.884451142928913,0.046951208167922955,0.4892970851422977
PF05965.20,2,2,inf,0.11339518920254132,0.4892970851422977
PF03222.20,1,1,inf,0.3367700498605595,0.4892970851422977
PF18037.8,3,2,3.9402460456942006,0.26383478769151847,0.4892970851422977
PF25039.1,1,1,inf,0.3367700498605595,0.4892970851422977
PF08442.16,3,2,3.9402460456942006,0.26383478769151847,0.4892970851422977
PF15790.10,1,1,inf,0.3367700498605595,0.4892970851422977
PF25508.2,1,1,inf,0.3367700498605595,0.4892970851422977
PF06470.19,4,3,5.911853340030135,0.11415183807068115,0.4892970851422977
PF01588.27,2,2,inf,0.11339518920254132,0.4892970851422977
PF24493.2,1,1,inf,0.3367700498605595,0.4892970851422977
PF06244.19,1,1,inf,0.3367700498605595,0.4892970851422977
PF08660.18,1,1,inf,0.3367700498605595,0.4892970851422977
PF01020.24,1,1,inf,0.3367700498605595,0.4892970851422977
PF08806.18,2,2,inf,0.11339518920254132,0.4892970851422977
PF21108.4,1,1,inf,0.3367700498605595,0.4892970851422977
PF09243.17,1,1,inf,0.3367700498605595,0.4892970851422977
PF09949.16,1,1,inf,0.3367700498605595,0.4892970851422977
PF00472.27,3,2,3.9402460456942006,0.26383478769151847,0.4892970851422977
PF00225.30,20,9,1.6126989207975124,0.1996352129278995,0.4892970851422977
PF01078.28,14,8,2.6291174251948703,0.06088806604296565,0.4892970851422977
PF08518.17,1,1,inf,0.3367700498605595,0.4892970851422977
PF03109.23,24,14,2.7633341727524554,0.011338418712385967,0.4892970851422977
PF21326.5,1,1,inf,0.3367700498605595,0.4892970851422977
