pfam_accession,genes_com_dominio_universo,genes_com_dominio_DE,odds_ratio,pvalue,padj
PF03143.24,6,1,9.11259842519685,0.12255489537165634,0.24451486406675121
PF03015.25,29,2,3.3819352949787733,0.12862389833208904,0.25538368219559704
PF00069.32,197,7,1.6917657045840409,0.133789000802509,0.26436191985495766
PF07354.19,7,1,7.593175853018373,0.14147334482462223,0.26919233668018394
PF00795.28,7,1,7.593175853018373,0.14147334482462223,0.26919233668018394
PF04756.20,7,1,7.593175853018373,0.14147334482462223,0.26919233668018394
PF24758.2,7,1,7.593175853018373,0.14147334482462223,0.26919233668018394
PF06441.19,7,1,7.593175853018373,0.14147334482462223,0.26919233668018394
PF00728.29,7,1,7.593175853018373,0.14147334482462223,0.26919233668018394
PF21362.4,7,1,7.593175853018373,0.14147334482462223,0.26919233668018394
PF00643.30,7,1,7.593175853018373,0.14147334482462223,0.26919233668018394
PF00017.31,31,2,3.148153196129208,0.1433520506190513,0.27151010508953954
PF00133.29,8,1,6.5078740157480315,0.15998546194534954,0.2871354797359767
PF00626.28,8,1,6.5078740157480315,0.15998546194534954,0.2871354797359767
PF08240.18,8,1,6.5078740157480315,0.15998546194534954,0.2871354797359767
PF24548.2,8,1,6.5078740157480315,0.15998546194534954,0.2871354797359767
PF00350.30,8,1,6.5078740157480315,0.15998546194534954,0.2871354797359767
PF07993.19,33,2,2.9445365293892642,0.15841185761252685,0.2871354797359767
PF13086.13,8,1,6.5078740157480315,0.15998546194534954,0.2871354797359767
PF23586.3,8,1,6.5078740157480315,0.15998546194534954,0.2871354797359767
PF07859.20,63,3,2.28531746031746,0.1542588499951032,0.2871354797359767
PF13087.13,8,1,6.5078740157480315,0.15998546194534954,0.2871354797359767
PF22697.3,8,1,6.5078740157480315,0.15998546194534954,0.2871354797359767
PF13481.13,8,1,6.5078740157480315,0.15998546194534954,0.2871354797359767
PF00732.26,34,2,2.852272727272727,0.16604886380604672,0.29672210010558786
PF09334.18,9,1,5.693897637795276,0.17809994035583043,0.3075591406985139
PF13903.12,9,1,5.693897637795276,0.17809994035583043,0.3075591406985139
PF12947.14,9,1,5.693897637795276,0.17809994035583043,0.3075591406985139
PF06723.20,9,1,5.693897637795276,0.17809994035583043,0.3075591406985139
PF05199.20,35,2,2.7656006707390106,0.17374857564437118,0.3075591406985139
PF07525.22,9,1,5.693897637795276,0.17809994035583043,0.3075591406985139
PF14658.13,9,1,5.693897637795276,0.17809994035583043,0.3075591406985139
PF02535.29,9,1,5.693897637795276,0.17809994035583043,0.3075591406985139
PF22705.3,36,2,2.6840269704719835,0.18150477824369243,0.3108269327423233
PF06585.18,36,2,2.6840269704719835,0.18150477824369243,0.3108269327423233
PF00067.28,104,4,1.8291633466135457,0.18644632414949228,0.31665057531174107
PF20434.6,69,3,2.0764790764790764,0.18607161542869358,0.31665057531174107
PF19030.7,10,1,5.060804899387577,0.19582528839450283,0.319381720357701
PF00012.27,10,1,5.060804899387577,0.19582528839450283,0.319381720357701
PF23376.2,10,1,5.060804899387577,0.19582528839450283,0.319381720357701
PF03953.23,10,1,5.060804899387577,0.19582528839450283,0.319381720357701
PF00656.28,10,1,5.060804899387577,0.19582528839450283,0.319381720357701
PF21008.4,10,1,5.060804899387577,0.19582528839450283,0.319381720357701
PF01839.30,10,1,5.060804899387577,0.19582528839450283,0.319381720357701
PF00531.29,10,1,5.060804899387577,0.19582528839450283,0.319381720357701
PF00014.29,10,1,5.060804899387577,0.19582528839450283,0.319381720357701
PF00884.29,10,1,5.060804899387577,0.19582528839450283,0.319381720357701
PF13410.12,11,1,4.554330708661418,0.21316983304978518,0.33958450148628566
PF22784.2,11,1,4.554330708661418,0.21316983304978518,0.33958450148628566
PF00348.23,11,1,4.554330708661418,0.21316983304978518,0.33958450148628566
PF23301.2,11,1,4.554330708661418,0.21316983304978518,0.33958450148628566
PF00091.32,11,1,4.554330708661418,0.21316983304978518,0.33958450148628566
PF01553.27,11,1,4.554330708661418,0.21316983304978518,0.33958450148628566
PF28528.1,41,2,2.338907469342252,0.22093180665363077,0.35059062754688125
PF19028.7,12,1,4.139942734430924,0.2301417238104268,0.3565828287088966
